"a","啊阿婀疴屙锕钶錒妸妿娿痾鈳"
"drac","仗瓺"
"drag","丈杖"
"drek","掷踯蹢躑潪擿擲"
"dreq","程呈埕酲裎珵"
"drec","郑鄭"
"dreg","徎塣"
"dhe","迟坻墀岻蚳貾遟遲謘彽阺荎菭泜"
"dheh","致稚遟謘稺緻"
"drim","沈沉莐鈂霃"
"drib","鸩鴆"
"drif","朕螣鰧顩栚"
"drin","陈尘陳塵敶"
"dril","阵陣敶"
"drir","纼紖眹"
"drip","蛰譶俋蟄"
"drit","秩侄帙妷姪柣袠翐紩豑"
"dhex","雉滍薙"
"drik","直值犆"
"driq","惩澄瞪澂憕懲"
"dro","除储滁躇蒢篨櫥儲藸"
"droh","箸筯"
"drox","苎伫杼芧佇纻苧眝竚羜紵"
"drii","持"
"driy","治植"
"drij","峙痔秲洔庤歭畤跱"
"driu","筹绸稠畴踌俦帱紬菗椆裯綢儔薵幬懤燽疇籌躊梼檮鯈怞鲉鮋棸"
"driw","宙胄籀酎懤疛伷冑駎"
"driv","纣荮鲖鮦紂葤棸"
"dlei","尵"
"dwe","錘鬌甀"
"dweh","缒腄錘甀硾膇縋"
"dvan","传椽傳"
"dval","传傳"
"dvar","篆沌抟摶堟瑑"
"dwi","锤椎槌桘顀鎚"
"dwih","坠怼鎚懟墜"
"dwit","朮炢"
"druk","逐轴妯碡舳篴軸蓫鱁"
"druq","种虫沖翀蟲爞"
"druc","仲"
"dvu","厨橱蹰裯趎廚幮櫥躕"
"dvuh","住牏"
"dvuk","躅蠋蠾"
"dvuq","重褈蝩緟穜"
"dvuc","緟"
"dvug","重襱鲖鮦"
"dvux","柱跓嵀"
"dhu","头投揄骰窬亠緰頭坄牏歈"
"dwa","堶碢"
"dlen","窀"
"dwah","惰媠嫷"
"dway","兑兊兌綐"
"dwan","团抟摶團漙慱篿糰鷒剸鄟"
"dwal","段椴毈"
"dwar","断缎簖緞斷籪"
"dwat","夺敓敚痥奪鮵挩莌"
"dwax","堕垛鬌憜墮嶞嫷"
"dhuh","豆逗窦痘窬郖荳饾浢梪毭酘脰餖竇讀"
"dhuk","读独渎犊牍椟碡黩髑獨匵瀆嬻瓄櫝殰犢牘皾豄贕讀韣韇黷讟襡鸀儥罜"
"dhuq","同童铜筒桐潼酮砼瞳仝硐僮茼罿蕫挏哃烔眮衕絧銅鲖橦曈犝穜鮦筩"
"dhuc","洞侗恸峒恫胴迵戙駧眮衕絧詷慟"
"dhug","动硐挏姛動眮詷"
"dhux","揄襡"
"ei","黟嫛鹥繄黳鷖"
"ey","翳殪繄枍殹嫕瞖曀縊豷蘙"
"eb","酓"
"en","烟燕咽湮胭阏菸橪煙驠閼"
"eg","瀴巊"
"el","燕宴咽溎酀嚥嬿鷰醼讌驠"
"er","蝘躽嬿"
"eoi","哀唉埃锿欸鎄"
"eoy","爱暧嫒嗳瑷愛叆僾薆噯嬡璦曖靉"
"eoj","欸毐"
"eok","餩殕"
"eom","谙庵鹌喑媕腤盦諳馣鵪韽嬜菴"
"eob","暗闇"
"eof","俺埯揞垵唵隌晻罯黤黭"
"eon","恩嗯蒽煾"
"eol","摁"
"eop","罨媕罯姶鞥佮搕唈"
"et","咽噎蠮"
"eu","吆幺蛲蟯葽宎怮犳"
"ew","窔"
"ev","杳窈葽苭窅偠婹鴢騕"
"fa","何河荷苛菏嗬蚵鲄魺"
"faa","霞虾遐瑕蝦鰕碬蕸赮鍜騢"
"faah","下夏暇芐"
"faak","楁垎"
"faam","衔啣銜甉"
"faaf","舰槛撖艦轞檻壏"
"faaq","行衡珩桁蘅筕胻洐"
"faac","行绗絎胻"
"faag","杏荇莕"
"faal","骭娨"
"faar","橌憪僩"
"faap","匣狎柙炠翈笚舺霅"
"faat","辖砎舝縖轄鎋鶷"
"faau","肴淆爻崤笅筊猇洨倄殽餚"
"faaw","校效効俲傚詨斅"
"faav","泶澩"
"faax","下夏厦廈丅"
"fae","鮭嚡榽慀膎鞵"
"faeh","邂"
"faei","鞋谐骸偕湝蝔瑎諧龤"
"faey","械瀣薤衸韰齘"
"faej","骇侅絯駭駴"
"faek","核翮滆覈蒚"
"faem","咸函椷鳒鹹稴鰜輱醎諴"
"faeb","陷臽錎餡"
"faef","馅甉餡豏"
"faen","闲痫娴鹇瞯閑蛝憪嫻嫺癇藖鷴鷳"
"faeq","茎莖牼"
"faeg","幸悻倖"
"fael","苋藖莧粯"
"faer","限硍"
"faep","峡狭洽硖陜珨峽狹烚祫陿硤"
"faet","黠"
"faex","解蟹獬嶰澥"
"fah","贺賀袔"
"fay","害夆妎"
"fak","鹤涸貉狢貈佫鶴"
"fam","酣魽甝炶煔"
"fab","譀"
"fan","寒韩邯邗虷韓鶾"
"faq","行航杭吭肮桁沆颃苀迒蚢筕頏魧胻邟"
"fac","行笐"
"fag","沆骯蚢"
"fal","汗焊翰瀚捍悍豻忓扞闬垾閈釬馯銲螒駻雗"
"far","旱皔"
"faok","学泶翯峃嶨學澩觷鷽"
"faoq","降洚缻夅栙跭"
"faoc","巷閧鬨衖"
"faog","项項缿"
"fap","阖盍熆篕闔"
"fat","褐曷骱毼餲鞨鹖鶡"
"fau","号豪毫壕嚎濠蚝嗥獆噑獋蠔號"
"faw","号號"
"fav","浩皓昊镐灏颢夰鎬昦晧鄗滈暤暭薃顥鰝灝"
"fax","荷"
"fei","蹊兮奚嵇鼷胿傒徯榽螇豯貕郋蒵騱"
"fey","系瘛禊繫妎蒵盻係慀稧"
"fej","徯謑匸涀"
"fek","檄觋鸄獥椺覡薂"
"fem","嫌稴"
"fef","鼸"
"fen","贤弦舷痃臤伭胘蚿婱絃賢礥"
"feq","型形刑邢陉硎陘侀钘娙铏鈃鉶鋞桯"
"fec","胫脛踁"
"feg","胫脛鋞涬婞緈"
"fel","见现見涀現"
"fer","蚬岘嫢詪顈蜆俔垷哯峴晛睍鋧臔"
"feoi","孩颏豥頦"
"feoy","瀣戤"
"feoj","亥氦侅"
"feok","劾"
"feom","含涵颔晗焓肣圅梒筨蜬鋡頷顄"
"feob","憾唅浛琀莟蜭"
"feof","撼颔菡肣莟淊蜭頷顄頜欿"
"feon","痕哏拫鞎"
"feoq","恒恆峘"
"feol","恨"
"feor","很狠佷"
"feop","合盒耠搿詥榙郃"
"feot","纥淈紇龁齕麧"
"fep","协侠挟勰劦俠協挾綊"
"fet","页撷颉缬纥籺紇龁齕覈絜奊翓擷襭纈頁"
"fev","皛"
"feem","炎"
"feen","焉漹"
"feep","烨晔馌曄曅燁瞱皣饁爗"
"feeu","鸮鴞"
"fein","礥"
"feip","騽"
"fij","矣"
"fiu","邮尤鱿疣尢腄沋肬郵訧魷"
"fiw","又佑囿宥侑祐姷酭"
"fiv","有友右铕銪栯"
"fo","湖胡乎糊狐壶蝴葫弧瑚醐猢煳鹕瓠虖瓳壷壺箶衚魱餬鬍鶘"
"foh","护互冱瓠枑婟嫭擭濩護鳠韄頀鱯"
"foi","回徊茴蛔洄佪迴蛕烠蚘"
"foy","溃缋螝膭阓詯殨繢闠潰嬇蚚僓"
"foj","汇溾輠匯瘣廆倄"
"fok","鹄翯頶鵠隺礐"
"fon","魂浑珲馄楎煇忶堚渾琿餛鼲俒顐沄餫"
"foq","洚"
"fol","溷圂俒慁"
"for","混棍緷睔睴鯶煇倱掍焜"
"fot","鹘扢抇尳鶻搰"
"fox","户沪扈祜怙戽酤岵戸戶帍昈婟鄠滬熩簄楛洿芐"
"fu","猴喉侯篌糇骺瘊矦葔帿睺銗翭鍭餱鯸鄇翵"
"fua","和禾咊盉鉌龢"
"foa","华划骅铧華嘩鋘鏵驊鷨崋譁釫"
"foah","华桦鳠鱯華崋摦樺檴"
"foay","话話"
"foak","嚄"
"foan","还环寰郇圜鬟锾還阛澴環鍰镮糫轘闤鐶"
"foaq","横黉橫彋黌喤瑝锽鍠韹鐄"
"foac","横橫"
"foag","卝澋"
"foal","患宦豢缳擐繯轘槵"
"foar","莞皖鲩睅睆鯇"
"foat","姡咶頢"
"foax","踝輠觟黊蘳"
"foe","鼃"
"foeh","画诖絓詿畫澅黊繣孈纗"
"foei","怀槐淮褢褱瀤懷櫰蘹"
"foey","坏壞蘾"
"foek","获画划鳠鱯婳畫劃嫿咟獲彟彠"
"foen","湲"
"foeq","宏闳吰纮宖竑耾翃浤紘紭閎鈜彋嵤"
"foel","幻"
"foet","滑猾鹘磆螖"
"foex","伙夥"
"fuah","和盉俰"
"fuay","会绘烩禬會燴繪"
"fuak","获镬擭濩檴穫鑊"
"fuan","完丸桓烷垸洹纨萑芄雚荁峘狟萈雈寏絙貆綄豲瓛梡汍紈捖"
"fuaq","黄皇煌凰潢惶簧璜湟蝗磺隍徨遑篁鳇蟥癀撗偟堭黃葟崲媓獚艎餭趪韹騜鰉鱑"
"fuac","扩攩擴暀"
"fuag","晃幌攩櫎滉榥皝"
"fual","换垸逭漶肒換"
"fuar","缓浣澣綄緩嵈鰀梡晥"
"fuat","活姡佸秳鬠"
"fuax","祸輠禍"
"fuei","携畦眭窐巂黊雟酅蠵觿鑴驨攜讗纗"
"fuey","惠慧蕙蟪潓憓橞譓儶鏸繐"
"fuen","悬玄盷伭胘妶玹懸玆"
"fueq","荧荥萤褮滎熒螢"
"fueg","迥冋泂"
"fuel","县炫眩縣玹袨眴衒贙姰迿"
"fuer","铉泫缳繯鞙埍妶琄鉉贙"
"fuet","穴袕坹"
"fuh","后候逅鲎堠訽鍭鄇鲘鮜鱟"
"fuk","斛槲觳焀蔛螜縠礐"
"fuq","红洪虹鸿讧洚荭仜垬紅葓葒渱谼鉷魟鴻訌"
"fuc","哄蕻閧鬨"
"fug","汞澒"
"fuok","或惑蜮魊"
"fuoq","弘苰鞃"
"fux","后厚後郈垕"
"fyiq","荣莹嵘蝾揘榮嶸蠑嫈褮瑩禜"
"fyic","泳咏詠禜醟"
"fyig","永栐"
"fue","为沩為爲溈鄬潙"
"fueh","为為爲"
"fyiy","卫軎槥熭衛璏衞轊讆讏"
"fyan","员圆贠員湲圓貟"
"fyal","院援瑗褑"
"fuex","蘤鄬寪蔿薳儰"
"fyak","籰"
"fyaq","王彺蚟"
"fyac","王旺暀迋"
"fyag","往暀"
"fyoi","围违韦囗涠帏闱婓婔韋幃圍湋違潿闈鍏"
"fyoy","汇胃谓纬渭猬彚彙緯媦煟蝟緭謂"
"fyoj","伟苇炜玮韪媁鍏偉葦愇瑋椲暐煒韙韡"
"fui","帷"
"fuy","位"
"fuin","筠囩縜荺"
"fuir","陨殒涢愪荺隕溳殞磒霣"
"fuit","汩蒁"
"fuj","洧鲔鮪痏"
"fiuk","哊"
"fiun","云员耘芸纭郧沄妘耺涢紜雲鄖愪蕓澐橒篔溳"
"fiuq","熊雄"
"fiul","运晕韵郓緷忶鹍鶤贠員暈鄆運餫韗韻"
"fiur","抎"
"fyo","于圩盂竽雩邘玗杅釪骬謣"
"fyoh","雨羽芋"
"fyon","园援袁媛猿垣辕洹爰猨園溒榬蝯轅鶢"
"fyol","远遠"
"fyor","远遠"
"fyot","越粤曰钺樾熭璏泧戉蚏粵鉞"
"fyox","雨宇羽禹頨聥祤鄅萭瑀楀"
"fuik","域蜮淢琙棫罭緎魊"
"fiut","觱抭"
"ggex","箉"
"gja","茄伽"
"grek","剧屐劇"
"greq","擎鲸黥檠鯨葝剠勍樈"
"grec","竞儆檠倞誩曔競"
"gre","奇骑琦弜鵸竒碕锜鬾騎錡"
"greh","骑芰鬾騎輢汥"
"grem","钳钤箝拑鈐鉗鉆羬黚雂鳹鍼"
"gref","俭芡儉"
"gren","乾虔掮犍揵墘榩騝鰬"
"grer","件鑳"
"grep","鴔衱"
"gret","杰桀偈傑楬嵥滐榤櫭搩"
"greu","桥乔侨荞峤鷮蟜轎蹻喬僑蕎嶠橋趫鐈毊"
"grew","轿峤轎嶠"
"grex","技妓伎徛锜錡"
"gjak","噱醵臄蹻"
"gjaq","强彊強勥"
"gjac","犟糨弶"
"gjag","弜滰誩勥"
"gjap","跲昅"
"gje","歧岐芪翄忯祇疧蚑蚔軝跂汥馶"
"gjem","鍼"
"gjen","掮"
"gjeq","葝"
"gjeg","痉痙"
"gjoi","祈圻畿颀虮刏蟣岓蚚旂碕頎玂"
"gjeu","荍嘺"
"gjew","翘翹"
"ghe","祁耆鳍愭鮨鬐鰭"
"gheh","洎垍臮塈鱀"
"grim","琴禽黔擒噙芩檎凜庈黚耹捦雂靲澿鵭"
"grib","噤妗笒紟凚齽鈙"
"grif","噤凚唫"
"grin","堇墐魿"
"gril","仅瑾觐馑廑僅饉墐歏殣覲瘽"
"grip","及笈苙"
"grit","佶鲒姞趌狤鮚"
"ghex","跽"
"ghik","极極"
"ghiq","殑"
"ghic","殑"
"ghig","殑"
"gjo","渠蕖蘧璩醵磲腒豦懅鐻淭璖螶蟝籧"
"gjoh","遽讵醵詎勮澽"
"gjol","健腱踺"
"gjor","键楗寋鍵"
"gjot","揭竭碣楬"
"gjox","巨距拒炬钜苣讵岠歫秬粔詎鉅虡駏鐻"
"gji","期其旗棋琪祺淇麒俟骐綦蕲亓萁蜞畁錤棊碁蜝綨璂踑禥鲯藄騏櫀蘄鯕"
"gjih","忌畁梞惎誋諅鵋鱀帺邔"
"gjin","勤芹蕲慬蘄瘽懄懃"
"gjil","近"
"gjir","近瘽"
"gju","求球仇裘犰逑巯艽俅赇鼽捄頄厹扏叴朹肍訄訅莍釚梂殏毬蛷絿巰賕璆銶脙"
"gjuh","旧柩舊匶"
"gjux","舅咎臼桕倃麔齨"
"gjiu","虬鹨蟉鷚虯觓觩璆"
"gva","瘸"
"gvan","权拳蜷颧鬈婘犈觠踡孉權齤蠸顴狋"
"gval","倦淃韏襈"
"gvar","蔨萒"
"gwex","跪"
"gvak","戄貜"
"gvaq","狂軭軖鵟"
"gvac","诓誆"
"gvag","俇"
"gveq","琼茕璚赹焭惸睘煢憌藑瓊嬛"
"gver","蜎"
"gvi","葵鄈楑"
"gvih","悸猤痵"
"gwi","逵馗夔艽頄骙戣頯鍨騤躨犪"
"gwih","柜馈匮篑蒉櫃鞼匱蕢樻餽簣饋"
"gwir","菌窘僒蔨莙蜠箘"
"gvix","揆嫢湀楑"
"gjuk","鞠踘毱趜鵴驧"
"gjun","群裙宭帬裠羣"
"gjuq","穷窮藭"
"gjul","郡珺"
"gvo","衢瞿朐癯劬蘧氍蠼鸲蚼眗斪翑絇葋軥鴝翵鼩忂灈欋戵臞蠷躣鑺鸜姁"
"gvoh","具惧飓犋埧颶懼臞"
"gvok","局侷焗跼駶"
"gvoq","邛筇蛩輁舼桏蛬"
"gvoc","共"
"gvot","掘撅橛亅橜憠蹷鷢"
"gvox","窭窶貗"
"gjut","崛倔堀"
"gjiv","蟉"
"ha","呵诃抲訶"
"haa","蚜煅岈谺颬煆疨"
"haah","唬煅罅諕謑煆嚇"
"haak","吓赫爀嚇"
"haab","譀"
"haaf","豃"
"haaq","亨哼悙脝"
"haap","呷譀"
"haat","瞎"
"haau","哮嚆嗃灱虓庨猇窙嘐藃穘髇涍顤"
"haaw","孝嗃涍詨"
"haax","閜襾"
"haeh","謑"
"haey","欸譮噧齂"
"haem","妗"
"haef","欦"
"haen","羴"
"haep","欱敮"
"haet","傄"
"hay","餀"
"hak","郝壑鄗鰝蠚嗃熇矐謞"
"ham","憨蚶歛嬜"
"hab","蘫"
"haf","喊壏嚂"
"han","鼾顸頇"
"haq","夯忼"
"hag","酐汻"
"hal","汉漢暵熯"
"har","罕蔊暵熯"
"haok","豿滈翯嗀謞瀥"
"haoq","舡谾啌"
"haog","傋"
"hat","喝猲暍"
"hau","蒿薅薧茠"
"haw","好耗秏藃"
"hav","好"
"hei","醯忚橀"
"hey","殢"
"hej","徯謑匸涀"
"hek","阋赥鬩"
"hem","妗欦馦"
"hen","祆訮"
"heq","馨蛵"
"hel","韅"
"her","显蚬蜆韅顯抮"
"heoi","嗨咍"
"heoy","儗"
"heoj","海醢橀"
"heok","黑嘿潶"
"heom","谽馠唅"
"heop","哈欱"
"hep","弽偞"
"het","褉"
"heu","哓憢嘵膮"
"hew","娆嬈娎"
"hev","晓膮曉皢"
"hi","咦"
"heek","虩"
"hee","牺曦羲桸焁隵巇犧羛"
"heeh","戏戲嚱"
"heef","险猃憸譣崄險嶮獫玁"
"heet","娎焎"
"heeu","嚣枵呺歊獢藃嚻囂毊虈"
"hiak","谑謔"
"hiam","蔹蘞忺杴"
"hiab","姭"
"hiaq","香乡芗皀鄉薌膷"
"hiac","向蠁珦萫曏"
"hiag","响享晌飨亯蠁饗響曏嚮"
"hiap","胁拹脅嗋愶熁"
"hie","詑焁"
"hien","仚屳嘕"
"hioi","希稀烯浠欷俙莃悕桸晞睎豨鵗"
"hioy","欷饩摡塈鎎忥犔熂黖餼霼"
"hioj","唏俙狶豨霼"
"heh","呬屃屓齂"
"heim","鑫歆廞嬜"
"heif","廞"
"heil","衅舋釁"
"heir","脪"
"heip","吸歙翕翖噏嬆熻潝闟"
"heit","肸"
"hik","赩衋"
"hiq","兴興"
"hic","兴嬹興臖"
"hir","脪"
"hio","虚嘘虛歔噓魖驉"
"hioh","噓"
"hion","掀轩锨鍁鶱軒蓒"
"hiol","献宪憲瀗獻"
"hior","攇幰"
"hiot","歇蝎蠍猲"
"hiox","许許鄦"
"hii","熙禧嬉嘻熹僖诶娭誒瞦譆歖媐"
"hiy","憙"
"hiin","欣忻昕邤訢炘"
"hiil","庍炘脪焮"
"hiit","迄仡汔莔肸釳忔"
"hij","喜憙蟢囍"
"hit","咭欪恄欯"
"hiu","休庥咻髹鸺貅脙髤鵂"
"hiw","嗅溴嘼珛齅"
"hiv","朽殠"
"ho","呼滹虍烀轷苸恗虖軤雐嘑歑幠膴謼"
"hoh","戽謼"
"hoi","灰虺鼽豗鼿"
"hoy","诲晦秏颒詯誨靧痗頮"
"hoj","悔贿蛕賄燘"
"hok","熇嚛臛歊"
"hon","婚昏阍惛棔殙閽"
"hol","惛"
"hor","惛"
"hot","忽惚囫笏唿锪啒昒曶匫寣鍃"
"hox","虎浒琥戽萀滸"
"hu","齁"
"hoa","花哗嘩鷨譁"
"hoah","化魤杹諣"
"hoay","咶"
"hoak","砉諕漷湱謋"
"hoaq","嚝喤諻謍"
"hoe","歪竵"
"hoeh","諣"
"hoei","虺"
"hoey","咶躗躛"
"hoek","焃繣剨捇掝湱礊"
"hoeq","轰訇揈渹輷鍧轟"
"hoec","輷"
"hoet","傄"
"huah","货貨"
"huay","哕翙噦翽鐬濊"
"huak","霍嚯藿劐攉瀖矐癨靃彉彍霩"
"huan","欢鹳獾犿鸛鴅酄懽歡貛讙驩貆"
"huaq","荒肓巟衁"
"huag","慌詤謊爌"
"hual","唤焕涣奂嚾奐喚渙煥喛"
"huat","豁眓奯濊泧"
"huax","火钬灬邩鈥"
"huei","睳"
"huey","嘒暳嚖"
"huek","砉狊殈瞁"
"huen","梋鋗駽矎"
"hueg","诇詗"
"huel","绚夐敻駽讂眴絢"
"huet","血泬疦瞲坹"
"huh","佝蔻訽豞怐"
"huk","豰熇鍙嚛嗀"
"huq","烘叿焢谾魟"
"huc","戆戇"
"hug","唝嗊"
"huoq","薨"
"hux","吼蚼吽呴"
"hiiu","烋飍"
"hya","靴鞾"
"hyiq","兄"
"hue","麾咴噅撝"
"hyat","吷烕"
"huex","毁毀毇檓燬譭烜"
"hyay","喙餯顪"
"hyak","矆戄彏"
"hyac","况贶況貺"
"hyag","谎怳詤謊"
"hye","睢眭隳蘳隓觿鑴"
"hyeh","孈"
"hyek","瞁"
"hyen","儇頨嬛蠉翾譞弲"
"hyec","诇詗敻矎醟"
"hyer","蠉"
"hyoi","辉挥徽晖袆揮翚楎暉煇幑輝翬瀈鰴褘"
"hyoy","卉讳泋芔諱"
"hyoj","虺"
"hyi","睢眭婎倠"
"hyih","睢婎侐"
"huy","燹豷"
"hyit","獝怴"
"hiuk","蓄畜鄐荲慉稸蓫"
"hiun","勋熏荤薰醺曛獯葷焄勛勲勳臐燻纁"
"hiul","训鐼臐爋訓"
"hyo","盱雩荂虖旴姁欨訏扜"
"hyoh","煦酗姁呴昫"
"hyok","旭顼勖頊勗"
"hyon","喧萱暄煊埙谖讙貆吅愋蝖翧諼諠塤壎喛"
"hyoq","胸凶匈汹銎兇讻洶恟胷訩"
"hyog","讻詾"
"hyol","楦楥韗"
"hyor","谖咺愃諼烜暅"
"hyot","狘泧"
"hyox","栩诩咻姁欨珝冔詡喣祤"
"huik","阈洫侐淢緎閾"
"hiut","欻烼"
"i","伊黟咿蛜"
"eeq","英瑛鉠楧渶媖霙韺鶧"
"eec","映詇賏暎"
"eeg","影璄璟摬"
"ee","椅猗漪犄欹祎禕檹陭"
"eeh","輢陭"
"eey","瘗餲瘞"
"eem","淹腌阉崦醃閹"
"eef","掩奄罨媕晻弇揜渰裺"
"een","焉嫣鄢蔫阏閼"
"eep","裛"
"eet","焆"
"eeu","妖夭枖祅訞"
"eev","芺殀仸"
"eex","椅倚猗旖輢"
"iak","约哟葯喲約"
"iam","醃"
"iab","裺觃覎"
"iaf","埯"
"iaq","央秧殃泱鸯胦鉠鴦霙"
"iac","怏詇"
"iag","怏鞅岟炴紻駚柍詇"
"iap","罨殗鄓餣浥裛"
"ieh","缢螠縊"
"iek","益嗌膉齸"
"iem","恹餍懨猒嬮懕饜"
"ieb","厌餍猒厭嬮饜"
"ief","魇厣酓黡檿厴魘黶擪"
"ieq","婴缨璎撄賏嬰攖蘡瓔纓"
"ieg","瘿廮癭"
"iel","躽"
"ioi","依衣铱衤郼銥譩繶"
"ioy","衣"
"ioj","叆僾庡扆偯靉"
"iep","靥魇魘嬮擪靨"
"ieu","要腰邀蛲蟯葽喓"
"iew","要葽"
"iev","崾闄"
"eh","懿欭亄撎饐鷧"
"eim","音阴喑隌陰瘖霠"
"eib","荫窨喑蔭飲癊"
"eif","饮飲"
"ein","骃駰鼘"
"eip","邑悒唈浥裛"
"eit","乙钇釔鳦亄"
"ik","亿抑忆臆薏癔肊億澺憶檍繶醷"
"im","愔韾"
"in","因姻茵氤铟洇堙垔骃裀陻婣絪歅禋銦鞇駰諲闉"
"iq","应鹰膺鷹應"
"ic","应譍噟應"
"il","印茚鮣"
"io","于淤於唹箊扵"
"ioh","瘀菸饫棜飫醧"
"ion","蔫"
"iol","堰郾傿漹匽褗躽椻"
"ior","偃郾鼹匽褗蝘鶠鰋鼴"
"iot","谒阏暍謁閼黦"
"ip","揖挹"
"ii","医噫毉醫譩"
"iy","意镱鐿鷾"
"iin","殷溵慇"
"iil","懚檼"
"iir","隐瘾乚磤隱嶾櫽癮"
"ij","譩醷"
"it","一壹弌"
"iu","优忧妋獶怮麀憂鄾優嚘瀀櫌耰纋"
"iv","懮"
"yeoj","佁"
"yi","姨夷彝胰痍荑眱珆鴺洟峓恞桋蛦羠跠鮧彞鏔蔩"
"yia","爷耶椰揶琊铘瑘釾爺鋣鎁擨"
"yiah","夜射鵺"
"yiax","也野冶虵壄"
"yiak","药跃钥栎瀹敫龠屵櫟藥纅鑰礿蘥躍爚禴籥鸙"
"yiaq","洋杨阳羊扬疡徉佯炀烊蛘玚旸钖昜眻陽揚崵瑒楊敭暘煬禓瘍輰諹鍚鴹颺鰑鸉"
"yiac","样漾恙炀眻諹颺瀁羕樣"
"yiag","养氧痒蛘勨蝆養瀁癢"
"yiap","殜"
"yie","移迤酏拸袲鉹箷詑虵歋匜杝衪迻栘扅暆熪螔簃謻迆"
"yieh","易伿貤敡"
"yiey","裔曳丿洩曵抴呭枻袣勚跇詍靾勩"
"yiek","易亦液译绎奕掖弈驿腋怿峄蜴埸睪帟焲痬墿嶧圛燚懌斁燡繹醳譯驛襗"
"yiem","盐阎檐闫阽閆塩閻壛簷櫩鹽"
"yieb","艳焰焱滟艶爓艷灧豔灩"
"yief","琰剡淊夵棪扊燄"
"yien","延蜒筵埏鋋郔莚狿綖"
"yieq","赢盈瀛楹嬴攍贏籝"
"yieg","郢浧梬"
"yiel","莚狿"
"yier","演衍戭縯蔩"
"yiep","叶揲殜枼偞葉楪鍱煠"
"yiet","抴"
"yieu","摇窑遥谣姚瑶洮鹞繇徭轺铫鳐珧恌烑軺傜搖嗂猺遙愮媱瑤榣銚飖餆窰窯謡謠颻蘨鰩鷂褕"
"yiew","耀曜鹞趭筄覞艞燿矅鷂讑鷣"
"yiev","舀抭溔鷕"
"yiex","扦酏肔孈匜衪扡崺"
"yih","肄貤勚殔勩"
"yik","翼翌弋翊蛡芅杙隿釴廙潩黓熼瀷"
"yim","淫霪镡撢鐔鱏冘婬蟫鷣碪"
"yin","寅夤蔩螾"
"yiq","蝇蠅"
"yic","孕媵鱦賸膡"
"yil","胤鈏靷濥洕酳"
"yir","引蚓廴吲弞戭縯鈏靷螾濥"
"yio","余予舆蜍馀妤欤狳舁擧鵌伃玙畬艅雓餘嬩璵輿歟旟與藇鸒"
"yioh","与预誉豫欤蓣悇與藇忬悆滪預蕷澦穥礜譽鸒"
"yiox","与予欤藇"
"yip","熠孴"
"yii","台怡贻颐诒饴眙圯洍沶瓵巸宧弬貽詒媐飴頤鏔"
"yiy","异異廙潩"
"yij","已以苡佁攺苢"
"yit","溢逸轶佚镒佾欥劮泆鎰齸"
"yiu","由游油悠犹铀攸猷舀揄蝣莸卣蚰囮甹抌鯈蘨冘斿秞浟偤猶遊楢鈾鲉蕕輶鮋櫾邎庮"
"yiw","釉柚鼬蜼褎輶櫾蜏槱狖牰貁"
"yiv","诱酉莠卣牖琇輶丣羑庮梄蜏槱誘"
"yye","蠵欈"
"yyeh","瓗贀纗"
"yyey","锐睿蜹銳叡銴"
"yyek","役疫坄炈垼豛鈠"
"yyen","沿捐铅缘鸢橼鈆鉛鳶蝝緣櫞"
"yyeq","营蓥茔潆塋營謍濴鎣瀠"
"yyeg","颖颍潁穎"
"yyel","掾縁"
"yyer","兖抁沇兗萒渷馻"
"yyet","说阅悦說娧悅閱"
"yyex","撱芛"
"yyi","维唯遗潍惟琟蓶維濰壝遺"
"yyih","遗瞶蜼遺"
"yyin","匀昀勻畇"
"yyir","允尹狁玧馻"
"yyit","聿鹬肀窵欥潏芛矞銉噊遹燏鴪繘霱驈鱊鷸"
"yyix","孈撱蓶踓壝瀢"
"yiuk","育毓煜昱鬻唷蘛堉逳淯棛喅焴蒮蜟錥儥"
"yiuq","融肜瀜"
"yyo","榆愉逾俞渝瑜臾舀萸腴觎揄谀瘐嵛窬蝓鄃隃堬楰崳媮牏歈褕蕍諛羭踰覦螸騟蘛萮瘉"
"yyoh","裕吁喻谕諭籲"
"yyok","欲浴峪鹆輍鋊慾鵒"
"yyoq","容庸熔溶蓉佣榕镛鳙墉傛搈瑢镕褣鎔傭鄘滽槦銿鏞鱅鷛嵱"
"yyoc","用"
"yyog","勇涌俑踊甬蛹恿傛埇悀湧塎慂踴"
"yyox","愈庾瘐窳抌楰斞貐瘉癒"
"ga","歌哥柯妿滒鴚謌牁"
"gaa","家加嘉旮枷痂镓笳珈袈葭瘕跏傢猳犌豭貑鴐鎵麚幏蟼"
"gaah","价假架嫁驾稼瘕幏價駕"
"gaay","犗"
