"a","啊阿婀疴屙锕钶錒妸妿娿痾鈳"
"qio","鱼渔龉魚漁铻鋙齬"
"qioh","语御驭馭"
"qion","言讠訁琂甗"
"qiol","鬳"
"qior","屵巘"
"qiot","钀"
"qiox","语御圄龉圉敔铻語鋙蘌齬禦篽籞"
"qii","疑嶷觺"
"qiy","譺豙儗"
"qiin","圻鄞龈狺斦龂齦齗"
"qiil","垽"
"qiit","屹疙圪仡"
"qij","拟譺孴擬薿儗"
"qiu","牛"
"qiw","鼼"
"qo","吴吾梧浯蜈唔龉鼯牾鋘吳郚娪珸祦鯃峿麌齬誤窹"
"qoh","误悟晤捂焐牾忤痦迕寤遌遻啎逜悮悞誤窹"
"qoi","桅嵬阢峞鮠硙磑"
"qoy","硙磑"
"qoj","隗顡峞頠"
"qon","梱瘒顐"
"qol","诨諢顐"
"qot","兀杌阢刖扤屼矹鼿軏"
"qox","五伍午仵旿"
"qu","齵"
"qua","讹吪囮訛鈋魤譌"
"qoan","顽頑"
"qoal","薍"
"qoat","刖"
"qoax","瓦佤邷"
"qoey","聩聵顡"
"qoet","聉"
"quah","卧臥"
"quay","外"
"quak","瓁"
"quan","鼋刓抏岏忨蚖羱黿"
"qual","玩貦忨翫妧"
"quat","枂"
"quh","偶"
"qux","偶藕耦蕅髃"
"qiiu","聱"
"que","危峗洈"
"queh","伪偽僞"
"quex","姽硊頠"
"qyoi","巍犩"
"qyoy","魏犩"
"qiuk","砡"
"qiur","夽喗齫齳"
"qyo","娱愚虞禺隅齵娛堣嵎湡澞鍝髃鰅鸆"
"qyoh","遇寓禺庽媀"
"qyok","玉狱钰顼鈺獄鳿"
"qyon","元原源沅塬芫鼋螈邧杬蚖蒝獂嫄榞羱黿謜騵厵"
"qyoq","喁颙顒鰅"
"qyol","愿傆願"
"qyor","阮朊邧"
"qyot","月刖扤鈅抈岄玥枂軏跀"
"qyox","俣俁噳麌"
"njei","臡"
"njoj","疓"
"nia","若婼"
"niah","偌渃"
"niax","若惹喏"
"niak","若弱箬叒鄀楉蒻"
"niaq","瓤穰禳獽瀼躟鬤儴勷蘘"
"niac","让懹讓欀"
"niag","壤嚷攘穰蠰躟"
"nie","儿兒唲婼"
"niem","髯蚺冄呥柟袡舑蛅"
"nief","染冉苒柟姌媣"
"nien","然燃肰繎"
"nier","熯戁橪蹨"
"niep","嗫颞囁讘顳喦"
"niet","热苶熱"
"nieu","饶桡荛蛲橈襓饒蟯蕘"
"niew","绕繞"
"niev","扰绕娆嬈擾遶繞"
"niex","迩尒尔爾邇"
"nih","二贰弍貳樲髶"
"nim","任壬恁銋鵀纴紝"
"nib","任妊衽鵀纴絍"
"nif","饪荏稔恁銋栠棯袵飪腍餁"
"nin","人仁亻朲"
"niq","仍扔艿辸礽"
"nic","芿"
"nil","认刃韧仞轫讱杒牣肕軔訒韌認"
"nir","忍荵涊"
"nio","如茹铷洳蒘銣蕠鴽"
"nioh","洳"
"niox","汝肗"
"nip","入廿"
"nii","而鸸鲕陑耏咡峏洏栭胹輀髵鴯鮞誀陾"
"niy","饵珥佴咡毦衈餌刵誀眲"
"nij","耳洱铒鉺駬"
"nit","日驲馹衵臸"
"niu","柔揉鞣蹂葇瑈腬蝚鍒騥鰇鶔"
"niw","煣輮"
"niv","沑禸粈葇煣輮韖楺"
"nye","痿"
"nyey","钠芮蚋枘鈉汭蜹笍"
"nyen","堧繎撋瑌"
"nyer","软耎軟偄愞瑌腝碝蝡緛輭"
"nyet","蚋蜹焫爇"
"nyex","蕊甤繠蘂"
"nyi","蕤擩甤緌桵捼"
"nyin","犉瞤眴"
"nyil","润闰閏閠潤"
"nyir","蝡"
"nyix","甤繠"
"niuk","肉衄鲕鮞朒"
"niuq","绒戎狨茙絨駥"
"nyo","儒濡蠕嚅薷襦颥獳嬬臑繻醹顬鱬"
"nyoh","孺擩"
"nyok","辱褥缛溽蓐鄏嗕媷縟"
"nyoq","茸秾穠襛搑榵穁髶"
"nyog","冗軵搑穁宂氄"
"nyox","乳薷醹擩"
"no","奴驽孥砮笯駑"
"noh","怒笯"
"noi","捼"
"noy","内內"
"noj","馁餒鮾浽娞脮餧"
"nok","耨傉搙"
"non","黁"
"noq","农脓侬哝農辳儂噥憹膿"
"nol","嫩抐媆腝"
"not","讷肭抐訥"
"nox","努弩孥胬砮"
"naa","拿揸拏蒘詉笯挐摣"
"naaq","狞獰鬤"
"naag","柠檸"
"naar","赧戁"
"naau","孬铙呶硇怓鐃譊"
"naaw","闹淖桡閙鬧橈"
"naav","挠撓獿"
"nae","掜誽"
"naei","摨搱"
"naey","褹"
"naek","疒眲"
"naem","喃諵"
"naeb","諵"
"naef","淰"
"naen","嘫"
"naeq","儜薴嬣鑏鬡"
"naet","痆"
"naex","奶嬭"
"naok","搦搙"
"naoq","哝涳譨鬞噥"
"naog","攮擃"
"neem","粘黏"
"neel","碾輾"
"neer","碾"
"neep","聂蹑镊睪帇踂聶籋躡鑷"
"neex","旎抳狔"
"neak","逽蹃"
"neaq","娘瓤孃"
"neac","酿釀"
"ne","呢尼妮铌怩蚭跜鈮柅"
"neh","腻膩"
"neim","您鵀纴紝"
"neib","赁賃"
"neif","拰"
"nein","纫紉"
"neip","孨"
"neit","昵暱衵"
"nex","柅"
"neik","匿恧"
"neo","蒘帤挐袽"
"neoh","女"
"neox","女钕籹釹"
"neij","你您伲聻伱"
"neiu","妞"
"neiw","糅猱狃腬"
"neiv","扭纽钮狃杻莥紐鈕禸"
"noak","搦蹃"
"noan","奻"
"noal","奻"
"noat","妠袦"
"noet","肭豽貀"
"nueh","诿諉"
"nyat","呐吶"
"neuk","忸肭衄恧沑"
"nyuq","浓秾濃檂穠襛醲"
"nu","羺獳"
"nua","捼"
"nuah","糯懦堧稬穤愞"
"nual","渜稬偄愞"
"nuar","暖渜煗餪稬煖"
"nuh","耨槈鎒譳搙擩"
"nuc","癑齈"
"nux","啂陾"
"o","乌污呜钨邬圬扝弙杇洿烏釫鄔嗚歍螐鴮鎢鰞瑦盓汚"
"oh","恶垭肟噁惡埡汙"
"oi","偎煨隈揋葨渨椳鳂鰃"
"oy","隈"
"oj","猥嵔腲鍡碨"
"ok","沃鋈鲎鱟觷"
"on","温瘟韫昷塭殟溫豱辒輼轀缊蕰緼薀縕韞"
"ol","揾搵"
"or","稳穩"
"ot","腽淴嗢膃榅殟榲揾搵馧"
"ox","坞垭摀瑦隖塢嵨溩埡"
"baa","吧巴疤芭笆粑岜钯蚆羓豝鈀"
"baah","霸坝靶灞弝垻覇壩欛"
"baay","败敗"
"baak","百柏伯迫佰栢湐敀"
"baan","班般斑颁扳鳊癍頒斒辬鯿朌肦鳻螌"
"baaq","閍祊嗙騯"
"baac","跰"
"baar","版板钣舨瓪昄鈑蝂闆"
"baau","包胞苞勹佨枹"
"baaw","爆豹"
"baav","饱飽"
"baax","把"
"baeh","庍"
"baei","掰"
"baey","拜"
"baek","擘薜檗糪蘗"
"baen","斒虨"
"baeq","绷浜捠絣繃"
"baec","迸"
"bael","扮"
"baet","八扒捌玐朳哵釟"
"baex","摆捭擺"
"bay","贝钡狈呗芾貝狽鋇唄茷伂"
"bak","博猼愽簙鎛餺髆欂襮鑮"
"baq","帮幫鞤縍"
"bac","谤謗搒"
"bag","榜蒡氆牓"
"baok","剥驳趵剝駁駮髉肑嚗"
"baoq","邦梆垹"
"baog","绑綁"
"bau","褒煲襃"
"baw","报報"
"bav","保宝堡葆褓鸨珤堢駂鴇緥賲寶宲"
"bei","蓖篦狴悂豍鎞梐箄螕"
"bey","闭箅嬖閉閇"
"bek","壁綼廦繴鼊"
"ben","编边蝙蹁笾煸萹猵牑編邊籩甂"
"beg","鞞"
"bel","遍徧"
"ber","扁匾碥缏萹惼糄藊緶"
"beok","北"
"beoq","崩嘣"
"beoc","泵堋镚鏰"
"paa","葩蚆妑舥鈀"
"paah","怕帕帊"
"paak","拍魄啪珀敀洦皛"
"paan","攀眅"
"paaq","烹恲"
"paal","襻"
"paar","眅"
"paau","泡抛脬拋"
"paaw","炮疱窌奅皰麭礮"
"paeh","派哌蒎"
"paey","湃浿"
"paek","糪"
"paeq","抨怦砰伻匉弸閛"
"paec","碰椪"
"paeg","皏"
"pael","盼盻"
"paet","趴叭汃"
"pay","沛霈浿"
"pak","胉濼奤蒪"
"paq","乓镑磅滂鎊雱霶"
"pag","耪髈"
"paok","朴璞飑钋攴颮鞄釙謈圤墣樸"
"paoq","胮"
"paoc","胖肨"
"pau","藨"
"pei","批砒鈚磇錍"
"pey","媲濞睥渒"
"pek","劈癖噼霹憵澼"
"peq","拼乒姘俜甹艵頩竮覮"
"peg","頩"
"pel","片"
"peoj","啡朏俖"
"peoq","堋漰"
"peog","倗剻"
"pet","撇氕丿暼撆鐅嫳"
"pi","纰悂紕"
"pee","披铍帔狓秛耚旇翍鲏鈹鮍"
"peeh","帔襬秛"
"peer","鴘"
"peev","麃"
"peex","紴"
"pieh","譬"
"piey","潎"
"piek","僻癖廦"
"pien","篇偏翩犏萹媥"
"piec","聘娉俜"
"piel","骗騙騗"
"piet","瞥癟潎"
"pieu","飘漂嫖镖嘌杓螵摽爂鏢彯翲旚犥飄僄慓"
"piew","票漂摽彯翲勡僄慓"
"piev","缥瞟縹犥篻醥顠皫"
"piex","吡仳庀疕諀"
"pih","屁"
"pe","丕苤呸怌伾秠豾鉟髬駓魾"
"peh","淠濞嚊"
"peif","品榀"
"pein","砏虨"
"pex","疕秠嚭"
"pik","堛愊稫畐踾揊疈"
"pin","缤繽"
"piq","砯"
"pit","匹鷝"
"piu","醅紑肧衃秠"
"piw","副褔"
"piv","紑秠"
"po","铺誧豧陠痡鋪鯆潽墲"
"poh","铺怖誧悑鋪舖"
"poi","坯胚醅肧衃抔"
"poy","配朏胐嶏"
"pon","喷噴濆歕"
"pol","喷湓噴歕"
"por","翉"
"pot","馞昢哱"
"pox","普浦埔溥氆镨誧烳鐠"
"pua","坡玻"
"puah","破"
"puak","膊粕泺胉濼奤蒪"
"puan","番潘"
"pual","判泮姅眫冸沜牉頖"
"puar","坢"
"puat","泼鱍潑鏺"
"puax","颇叵笸钷鉕駊頗"
"puh","仆踣豧"
"puk","扑噗泺攵醭攴骲濼撲墣"
"pux","剖蔀婄"
"pyay","肺杮"
"pyab","泛姂氾汎"
"pyaf","钒釩"
"pyaq","芳淓"
"pyac","访妨邡訪"
"pyag","仿纺彷鴋紡髣鶭"
"pyoi","菲妃霏婓裶騑"
"pyoy","费镄昲費鐨靅髴"
"pyoj","菲斐悱朏奜"
"piuk","覆蝮蕧"
"piun","芬纷氛酚砏衯紛棻雰錀"
"piuq","丰沣酆豐蘴灃寷麷"
"piuc","麷赗賵"
"piul","忿湓瀵魵"
"piur","魵"
"pyo","俘孚敷孵麸殍桴稃郛莩姇荂怤尃紨筟鄜豧麩麱泭罦郙秿痡"
"pyoh","赴讣豧簠訃婏"
"pyon","反番翻幡旛轓飜繙"
"pyoq","峰丰锋蜂烽仹妦峯桻鋒蘴蠭莑"
"pyog","捧"
"pyol","汳奿嬎嬔"
"pyox","抚拊弣俌撫殕"
"piut","佛拂祓艴乀刜茀彿髴嶏"
"bi","屄"
"beeq","兵"
"beec","柄邴怲棅鈵寎"
"beeg","丙炳秉邴苪怲昞窉蛃"
"bee","碑陂罴襬藣诐詖錍焷羆"
"beeh","陂藣佊诐貱詖"
"beem","砭"
"beeb","窆"
"beef","贬貶"
"beel","变變"
"beer","鴘辡覸"
"beet","别別莂"
"beeu","镳儦藨瀌臕鑣"
"beew","俵"
"beev","表裱婊錶"
"beex","彼佊柀"
"bie","卑裨鹎鵯痺鞞箄渒錍椑"
"bieh","臂"
"biey","蔽鄨鷩彆"
"biek","辟璧襞躄鐴"
"bien","鞭鳊箯鯾鯿揙"
"bieq","并栟箳"
"biec","并摒併"
"bieg","饼鉼餅"
"bier","褊"
"biet","鳖憋鄨鷩鱉鼈虌"
"bieu","标飚飙杓髟瘭骉猋蔈幖標熛贆飆飊驫"
"biew","嫑"
"biev","褾"
"biex","俾髀鞞箄崥"
"bih","庇痹畀"
"be","悲"
"beh","秘泌毖辔柲粊邲閟鄪祕轡"
"beif","禀稟"
"bein","斌彬玢豳攽汃邠砏虨霦"
"beip","皀鵖"
"beit","笔铋滗柲筆鉍潷咇"
"bex","鄙娝啚"
"bik","逼皀偪楅皕湢"
"bin","宾滨濒槟镔傧賓賔儐濱檳瀕鑌顮矉"
"biq","冰冫仌掤"
"bil","殡鬓摈傧儐擯殯鬢覕"
"bit","必毕筚哔跸荜珌畢蓽嗶滭彃熚罼觱篳鮅縪蹕鏎饆韠鷝"
"biu","紑鴀哹"
"biw","富鍑"
"biv","否缶缹鴀殕"
"bix","比匕秕妣髀舭朼疕沘"
"bo","逋晡钸峬庯鈽誧鵏抪餔秿陠鯆"
"boh","布佈抪"
"boi","杯盃桮揹"
"boy","背辈褙輩"
"bok","犦襮"
"bon","奔贲锛賁犇錛"
"bol","逩"
"bor","本苯畚"
"box","补谱圃補譜"
"bua","波菠啵皤紴碆嶓"
"buah","播簸譒"
"buak","博搏猼馎愽镈簙鎛餺髆欂襮鑮"
"buan","般搬"
"bual","半绊姅絆靽"
"buar","瓪昄粄"
"buat","般拨钵鲅茇鮁癶盋袚袯缽鉢撥驋鱍襏帗"
"buax","跛駊"
"buk","卜濮蹼幞轐鳪襆獛纀"
"bug","菶琫"
"bux","掊"
"biiu","彪髟骉驫"
"byay","废砩祓袚廢橃癈"
"byaq","方坊邡枋匚钫汸牥蚄趽鈁鴋"
"byac","放舫趽"
"byag","昉瓬倣"
"byap","法珐灋琺"
"byek","碧"
"byoi","非飞诽扉绯飛猆緋餥馡騑騛誹"
"byoy","沸芾鲱鯡疿茀"
"byoj","匪蜚榧篚餥蜰棐"
"biuk","福幅复腹辐蝠偪楅葍輻踾鶝褔複輹鍑菐"
"biun","分吩餴饙"
"biuq","风疯枫砜風偑猦楓碸瘋檒飌"
"biuc","讽諷"
"biul","奋粪瀵偾僨奮糞"
"biur","粉黺"
"byo","夫肤呋跗趺邞伕妋玞衭鈇鳺膚簠柎"
"byoh","付傅咐赋陚賦"
"byon","藩蕃轓籓鱕鐇"
"byoq","封葑崶犎篈"
"byoc","葑"
"byog","覂"
"byol","贩畈販"
"byor","反返坂橎"
"byot","发颰發髮冹"
"byox","府斧俯甫腑莆脯黼郙俌簠蚥鯆蜅頫"
"biut","不弗氟钚绂芾绋黻鈈巿甶冹帗韨柫笰翇紱紼綍韍髴"
"ka","珂轲軻"
"kaa","咖"
"kaah","疴髂"
"kaak","客喀揢礊"
"kaam","嵌"
"kaan","豻馯鬜"
"kaaq","坑硎砊劥阬"
"kaat","趏楬磍"
"kaau","敲跤硗鄗礉骹墝頝磽"
"kaaw","礉"
"kaav","巧"
"kaax","卡佧胩锎鉲跒"
"kaei","揩"
"kaey","烗"
"kaej","楷锴蒈鍇"
"kaek","缂諽緙礊罊"
"kaem","嵁厱鹐鵮"
"kaeb","歉"
"kaef","撖槏"
"kaen","悭臤掔慳顅鬝鬜羥"
"kaeq","铿硁牼硜硻誙銵鏗摼鳽羥殸"
"kaep","恰掐帢"
"kaet","咭葜劼硈鬝鬜擖"
"kah","蚵艐"
"kay","溘愒"
"kak","恪愙"
"kam","坩"
"kab","瞰阚闞嚂"
"kan","看刊靬栞臤"
"kaq","康糠漮槺穅躿邟"
"kac","抗炕亢伉钪颃闶蚢頏邟犺砊閌鈧阬"
"kag","慷骯忼懬"
"kal","看靬偘衎"
"kar","侃衎"
"kaok","确壳悫觳毃殼埆硞塙搉愨碻確燩礐峃嶨"
"kaoq","腔跫涳悾椌羫"
"kap","磕瞌榼"
"kat","渴骹嵑"
"kau","尻訄"
"kaw","靠铐槁犒稾熇薧銬"
"kav","考烤拷栲挢槀祰燺撟丂攷洘薧"
"kax","可坷岢"
"kei","溪檕嵠磎螇谿鸂"
"key","契恝栔蟿罊"
"kej","启稽卟綮啟啓棨晵闙"
"kek","吃喫燩"
"kem","谦謙"
"keb","傔"
"kef","肷慊嗛膁"
"ken","牵岍汧蚈牽雃掔縴郉"
"kec","罄磬鑋殸"
"keg","謦"
"kel","蚬汧菣蜆俔涀"
"ker","豤蜸"
"keoi","开侅奒開"
"keoy","慨忾闿闓鎧欬嘅愾"
"keoj","凯恺铠垲闿凱塏輆愷暟闓鎧颽"
"keok","克刻咳氪剋勀勊娔"
"keom","堪龛戡撖嵁龕"
"keob","勘轗竷崁磡"
"keof","砍坎莰埳惂歁輡顑轗竷臽錎"
"keog","肯肎"
"keol","裉"
"keor","垦恳啃豤墾懇"
"keop","溘匌歁峇"
"kep","惬箧匧悏愜篋"
"ket","锲挈栔蛪鍥猰"
"keu","郻鄡墽"
"kew","窍撬撽竅"
"kev","硗磽"
"kia","佉呿"
"keek","隙郄郤绤綌"
"keeq","卿"
"keec","庆慶"
"kee","崎桤攲踦觭榿碕"
"keeh","掎"
"keey","憩愒甈"
"keef","嵰"
"keen","骞愆褰騫諐攐"
"keet","愒朅藒"
"keeu","橇鞒憍趫鞽"
"keew","譑趬"
"keex","绮觭碕婍綺"
"kiak","却卻"
"kiam","厱"
"kiab","欠"
"kiaf","欦"
"kiaq","羌蜣猐"
"kiac","唴羻"
"kiag","羟羥"
"kiap","怯魥抾胠呿"
"kieh","吱蚑跂"
"kief","脥"
"kieq","轻氢氫輕鑋"
"kiel","谴缱晵繾譴"
"kier","遣缱繾"
"kioy","气汽炁盵氣"
"kioj","岂豈"
"kieu","跷繑趬蹺蹻"
"kiex","企跂"
"kih","弃夡棄蟿"
"keh","器"
"keim","钦衾菳嵚嶔顉欽"
"keib","揿搇撳"
"keif","顉坅"
"keil","螼"
"keip","泣湆"
"kif","坅"
"kiq","硱"
"kil","臤菣"
"kir","螼"
"kio","墟圩祛椐阹胠袪魼"
"kioh","去胠呿麮鼁"
"kion","攑"
"kiox","去弆麮"
"kii","欺娸僛魌抾"
"kiy","唭"
"kiir","赾"
"kiit","契乞"
"kij","起杞屺芑邔玘"
"kit","诘趌蛣詰"
"kiu","丘龟邱蚯龜蓲丠坵恘訄"
"kiv","糗"
"ko","枯挎轱骷刳軲橭扝郀跍鮬"
"koh","库裤绔庫袴絝褲"
"koi","恢魁诙盔悝詼顝"
"koy","块堁凷塊"
"koj","傀顝磈"
"kok","酷喾焅嚳硞"
"kon","坤髡巛豤髖臗"
"kol","困涃睏"
"kor","捆悃阃壸梱硱稇裍壼綑閫齫"
"kot","窟堀胐矻顝泏"
"kox","苦"
"ku","抠芤鞴眍韝剾摳彄瞘滱"
"kua","科棵稞窠蝌髁萪嵙犐薖簻"
"koa","夸姱誇"
"koah","跨胯"
"koay","快筷哙噲璯駃"
"koax","垮髁銙骻"
"koe","呙絓咼喎"
"koei","擓"
"koey","蒯喟篑蒉凷墤蕢嘳嬇簣"
"kuah","课髁骒敤堁課騍"
"kuay","凷"
"kuak","扩廓漷噋擴鞟鞹籗"
"kuan","宽髋寬髖"
"kuac","旷圹纩壙曠爌矌纊"
"kuag","夼懬爌"
"kuar","款梡欵歀窾"
"kuat","阔蛞筈闊"
"kuax","颗顆敤堁"
"kuei","奎睽暌蝰茥鮭湀刲聧楏藈"
"kuek","阒闃"
"kueg","苘絅褧顈檾烓"
"kuer","犬犭"
"kuet","喹阕湀闋"
"kuh","扣寇筘怐滱瞉簆鷇"
"kuk","哭"
"kuq","空倥崆箜埪涳悾硿鵼椌"
"kuc","空控倥悾鞚"
"kug","孔倥"
"kux","口叩竘釦"
"kue","亏虧"
"kyan","圈鬈桊弮棬"
"kyal","絭"
"kyak","躩"
"kyaf","凵"
"kyaq","框筐眶匡哐邼劻洭恇軭"
"kyap","姂猲"
"kye","窥窺闚"
"kyeh","觖"
"kyeq","倾傾"
"kyeg","顷苘頔頃檾"
"kyoi","蘬"
"kyet","缺蒛"
"kyex","跬頍"
"kui","岿蘬巋"
"kuy","喟尯嘳樻腃"
"kuin","蜠箟箘壸壼囷峮輑"
"kuj","蘬"
"kiuk","曲鞠麴麯"
"kiuq","穹芎匑焪"
"kiuc","焪"
"kyo","区驱躯岖摳區嶇敺軀驅鰸"
"kyok","曲蛐匤髷"
"kyoq","銎"
"kyog","恐"
"kyol","券劝绻劵絭綣虇韏勸"
"kyor","绻裷綣虇"
"kyot","阙闕"
"kyox","龋踽竘齲"
"kiut","屈诎詘"
"sa","嗦娑挲桫挱傞獻"
"sak","索溹"
"sam","三仨叁弎鬖"
"sab","三"
"san","珊姗跚姍"
"saq","桑丧桒喪"
"sac","丧喪"
"sag","嗓搡颡磉顙"
"sal","散帴繖"
"sar","散伞馓傘糤繖鏾饊"
"sap","卅仨靸"
"sat","撒萨攃摋薩躠"
"sau","艘骚缫搔臊缲鳋溞慅繅颾騷鰠鱢繰"
"saw","噪瘙埽髞喿譟"
"sav","扫燥嫂掃糔"
"sax","褨縒"
"sei","西撕栖犀硒嘶樨舾粞棲屖"
"sey","细婿細壻"
"sej","洗"
"sek","析锡晰淅皙蜥裼菥惁緆錫"
"sen","先酰跹蹮躚"
"seq","星腥猩惺鉎煋篂鮏曐鯹"
"sec","睲"
"seg","醒箵"
"sel","霰軐"
"ser","铣冼燹跣筅銑姺毨箲"
"seoi","腮噻鳃粞毢揌顋鰓愢"
"seoy","赛塞賽簺"
"seok","塞"
"seom","毵犙毿蔘"
"seob","俕閐"
"seof","糁糂糝糣槮"
"seoq","僧鬙"
"seop","圾飒趿靸钑馺颯鈒霅"
"sep","燮躞蜨韘徢屟屧鞢"
"set","屑楔榍揳偰僁糏躠"
"seu","萧潇箫瞍踃潚橚翛撨箾蕭彇蟏蟰簫瀟蠨"
"sew","啸嘯熽歗"
"sev","筱謏篠"
"si","私厶俬鐁鋖"
"sia","些"
"siah","卸泻瀉蝑"
"siax","写寫"
"siak","削"
"siaq","相箱湘襄厢镶缃骧葙廂緗忀瓖欀纕鑲驤"
"siac","相"
"siag","想鲞鯗"
"sie","斯厮菥虒榹凘禠磃廝燍蟴鐁鼶謕蜤螔傂"
"sieh","赐澌賜儩杫"
"siek","惜昔舄棤鬄焟蕮潟磶"
"siem","纤暹彡綅铦銛憸韱孅襳纖枮"
"sien","仙鲜籼跹氙硟奾苮秈僊鮮廯躚鱻"
"siec","性姓"
"sieg","省擤渻睲"
"siel","线腺惗綫線"
"sier","鲜癣藓燹鮮廯狝尠尟獮蘚癬"
"siet","泄薛亵绁渫齛禼紲媟絬暬緤褻疶辥絏"
"sieu","消销哨宵硝霄逍绡蛸魈莦鮹焇痟揱綃銷奞"
"siew","笑肖鞘韒"
"siev","小"
"siex","玺徙蓰壐璽"
"sih","四肆泗驷亖柶牭肂駟蕼"
"sik","息熄媳螅鄎蒠瘜"
"sim","心芯忄杺"
"sif","罧伈"
"sin","新辛薪锌鋅"
"sil","信讯汛囟阠顖卂訙訊奞"
"sio","胥谞揟楈稰蝑諝湑藇"
"sioh","絮"
"siox","糈醑谞楈稰諝湑"
"sip","霫卌"
"sii","思司丝锶咝鸶缌恖絲楒禗罳蕬噝緦鍶鷥偲覗"
"siy","伺笥覗"
"sij","葸萆枲諰"
"sit","悉膝蟋厀窸僁"
"siu","修羞馐脩樇饈"
"siw","秀宿绣锈琇銹繡鏽蜏"
"siv","醙滫糔"
"six","死"
"sji","尸蓍鸤屍鳲"
"sja","奢赊畲猞賒畬"
"sjah","舍赦厍舎厙涻騇"
"sjax","舍啥捨騇"
"sjak","烁铄獡爍鑠爚"
"sjaq","商伤墒觞殇熵塲傷蔏慯殤螪觴饟禓"
"sjac","饷蟓蠰慯餉饟珦曏"
"sjag","赏賞饟曏"
"sje","施铊鸍絁葹鍦鉈"
"sjeh","翅啻卶翄翨鍦馶"
"sjey","世势贳丗貰勢"
"sjek","适释哧螫冟睗適奭檡釋襫晹"
"sjem","苫痁"
"sjeb","苫閃煔掞"
"sjef","闪陕陝閃睒覢"
"sjen","膻埏脠搧鯅羶挻"
"sjeq","声聲"
"sjec","圣聖"
"sjel","扇煽骟傓謆騸"
"sjep","摄歙滠弽韘攝灄欇葉"
"sjet","设設蔎"
"sjeu","烧燒"
"sjew","少"
"sjev","少"
"sjex","弛豕阤"
"sjik","式识饰拭轼鉽識烒軾飾"
"sjim","深"
"sjif","审沈婶谂淰邥宷魫諗審瞫嬸"
"sjin","身申伸绅呻娠砷胂珅柛眒紳訷"
"sjiq","升胜昇陞勝抍"
"sjic","胜勝榺蕂膡"
"sjil","抻眒阠"
"sjir","哂矧弞矤訠頣"
"sjo","书舒纾書紓鵨瑹"
"sjoh","恕庶樜"
"sjox","鼠暑黍癙"
"sjip","湿溼濕"
"sjii","诗齝邿呞詩"
"sjiy","试弑僿弒試"
"sjij","始"
"sjit","室失"
"sju","收"
"sjuh","首守兽狩獸"
"sjux","手首守艏扌"
"sjix","矢屎"
"svey","说税帨涗稅裞說"
