"a","啊阿婀疴屙锕钶錒妸妿娿痾鈳"
"svet","说說"
"svil","瞬舜蕣瞚鬊眴"
"svir","賰"
"svix","水氵"
"sjuk","叔倏菽尗倐掓跾鮛虪儵翛"
"svo","输鄃輸隃"
"svoh","戍腧隃"
"svok","束"
"svoq","舂摏憃蹖"
"so","苏酥稣甦穌蘇囌"
"soh","素诉塑溯愫嗉泝傃訴塐遡膆愬"
"soi","毸挼嗺"
"soy","碎谇啐誶繀"
"sok","裻洬"
"son","孙荪狲飧孫搎蓀猻蕵薞"
"soq","鬆"
"soc","宋"
"sol","逊巽潠遜愻顨"
"sor","损損"
"sot","窣"
"saa","沙纱砂鲨痧裟紗桬硰魦鯊髿"
"saah","嗄"
"saam","衫芟髟彡穇縿"
"saab","钐釤"
"saan","删潸讪刪狦訕"
"saaq","生牲笙甥狌珄鉎鼪"
"saal","汕栅讪疝狦訕柵"
"saap","唼啑帹翜翣"
"saau","梢捎艄筲绡蛸莦弰娋旓輎颵髾鮹"
"saaw","稍潲娋揱"
"saav","潲髾"
"saax","洒灑"
"sae","籭諰"
"saeh","晒曬"
"saei","崽"
"saey","铩閷鎩"
"saek","拺栜擌摵愬溹虩"
"saem","杉掺摻櫼檆攕"
"saef","掺摻醦"
"saen","山舢邖"
"saer","产浐產産嵼滻簅摌"
"saep","霎歃萐喢箑"
"saet","杀煞铩脎帴殺蔱榝鎩"
"saex","躧"
"saok","数朔槊嗍蒴搠數矟欶揱箾"
"saoq","双泷瀧雙艭"
"saoc","淙"
"seek","索溹"
"seeq","狌珄鼪"
"seec","鼪貹"
"seeg","省眚渻"
"see","酾欐簁釃褷襹籭"
"seeh","屣襹"
"seey","铩蔱鎩"
"seem","襳"
"seep","霎歃萐喢箑"
"seet","摋榝"
"seex","屣酾蓰矖纚簁釃縰躧"
"seaq","霜孀蠰骦騻鷞鹴驦鸘"
"seag","爽鷞塽漺樉"
"se","师筛狮蛳篩師蒒獅鰤螄"
"seim","森参參棽槮穼蓡蔘薓曑襳"
"seib","渗罧滲"
"seif","槮瘆瘮"
"seip","涩钑雭歰澁濇澀翜鈒"
"seik","色啬穑铯嫱嬙嗇銫濇懎穡繬轖"
"sein","莘诜扟屾侁籸甡兟詵駪燊姺阠"
"seo","疏梳蔬酾疋釃疎綀踈"
"seoh","踈捒"
"seox","所疋糈齭盨"
"seiy","使"
"seij","使史驶駛"
"seit","瑟虱鲺璱飋蝨鯴"
"seiu","搜馊飕溲锼螋犙捜鄋蒐獀廋醙鎪餿颼騪"
"seiw","瘦嗖鏉"
"seiv","溲"
"soah","誜"
"soan","闩閂"
"soal","涮孿"
"soat","刷唰"
"soax","傻耍葰"
"siiu","犙"
"syan","栓"
"syal","孪孿"
"syat","唰"
"suex","甩"
"sui","衰摔榱"
"suy","帅帥"
"suit","率帅蟀帥咰"
"seuk","缩谡摵謏樎謖蹜摍縮莤"
"syu","毹螋橾"
"syuh","数捒數"
"syux","数籔數"
"su","涑锼鏉摗鎪"
"sua","莎梭唆蓑羧魦莏趖髿"
"suan","酸狻痠"
"sual","算蒜祘笇筭"
"suar","算匴篹"
"suax","锁琐唢葰惢嗩溑瑣鎖"
"suh","嗽漱嗾鏉謏欶瘶"
"suk","速簌僳涑蔌觫棴梀殐遬樕餗藗"
"suq","忪憽檧"
"suc","送凇鬆"
"sug","檧"
"sux","擞叟薮嗾瞍籔駷廋廀叜傁謏擻藪棷"
"sye","眭"
"syeh","瀡"
"syey","岁櫘歲繐"
"syen","宣揎愃瑄"
"syeq","垶骍觪騂觲"
"syel","渲繏"
"syer","选選"
"syet","雪鳕鱈"
"syex","髓嶲靃"
"syi","虽绥睢濉荽葰夊荾浽雖綏奞"
"syih","粹邃祟谇睟賥誶譢"
"syin","询荀峋郇恂槆檈眴姰珣詢畇"
"syil","迅峻浚陖埈晙鵔鵕迿奞濬"
"syir","笋榫隼筍箰栒簨鵻"
"syit","恤戌卹珬欰訹賉銊"
"siuk","宿肃夙蓿玊骕肅鹔潚璛橚驌鱐鷫蟰"
"siuq","嵩崧菘娀硹"
"syo","需须繻緰須蕦嬃鬚鑐隃"
"syoh","尠"
"syok","粟涑玊憟"
"syoq","松淞凇倯蜙鬆"
"syog","耸怂悚竦傱愯慫駷聳"
"da","多茤"
"dagx","打"
"dah","哆瘅癉跢痑"
"day","带帶艜蹛摕跢"
"dam","担儋頕聸擔甔"
"dab","甔"
"daf","胆紞膽黵"
"dan","单丹郸殚箪瘅襌單匰鄲殫癉簞"
"daq","当档铛裆珰筜當噹璫襠蟷簹鐺檔儅"
"dac","当當擋瓽儅譡闣"
"dag","党挡谠擋黨攩灙欓讜瓽"
"dal","旦笪怛狚觛鴠"
"dar","嬗疸笪亶狚觛"
"dap","耷褡搨笚矺"
"dat","哒靼笪怛妲噠呾炟狚"
"dau","刀氘刂忉裯朷舠鱽魛"
"daw","到倒菿"
"dav","岛倒捣祷懤島禂搗壔擣禱梼檮"
"dax","哆瘅奲癉亸嚲"
"dei","低堤氐柢羝岻奃袛隄趆磾鍉鞮揥腣眡"
"dey","帝蒂谛嚏碲骶柢趆偙僀腣摕蔕諦螮啑渧蝭疐蝃"
"dej","底抵邸坻诋柢弤牴軧觝詆"
"dek","的滴嘀嫡镝杓肑靮馰魡鏑玓啇甋扚樀蹢"
"dem","掂敁詀佔"
"deb","店垫惦埝坫墊唸痁"
"def","点玷踮點"
"den","颠滇癫巅厧傎槙瘨蹎顛顚巔癲齻驒"
"deq","丁钉叮仃疔玎虰釘靪"
"dec","订锭饤矴訂飣錠顁"
"deg","顶鼎酊葶耵奵靪頂薡濎"
"del","殿癜唸"
"der","典碘婰敟蕇琠錪"
"deoi","呆呔懛"
"deoy","戴"
"deoj","歹傣"
"deok","得德锝淂惪鍀"
"deom","耽眈妉酖媅甔"
"deob","馾"
"deof","耽瓭衴黕丼抌"
"deoq","登灯噔簦璒燈竳"
"deoc","凳磴嶝镫隥鐙"
"deog","等戥"
"deop","答瘩嗒褡畣撘荅"
"dep","笘聑跕"
"det","蛭咥"
"deu","雕叼刁貂凋碉鲷奝蛁彫弴琱瞗鵰鯛"
"dew","吊钓茑铞弔伄釣銱瘹窵蔦"
"dev","鸟佻钌茑隝扚屌伄窵釕鳥蔦鸼鵃"
"ta","他她它牠祂痑拕鼧"
"tah","拖"
"tay","太泰汰钛肽酞忕鈦"
"tak","托拓庹橐乇箨柝跅饦侂沰託袥飥馲魠籜萚蘀矺"
"tam","坍聃舑緂"
"tab","澉赕睒舕賧"
"taf","毯忐裧菼緂"
"tan","摊滩瘫嬗啴痑嘽擹攤灘癱譠"
"taq","汤镗羰簜湯蝪薚闛鼞踼鏜"
"tac","烫铴燙鐋"
"tag","躺倘淌傥帑惝耥攩踼偒儻戃曭爣矘"
"tal","炭叹碳湠嘆歎"
"tar","坦钽鉭"
"tap","塔搭塌榻嗒遢鳎溻鲽鰈魼狧鰨傝毾鞳"
"tat","獭挞鞑闼羍跶韃汏躂獺撻澾闥噧"
"tau","滔韬叨洮绦饕夲翢弢絛詜搯幍慆瑫槄縚謟韜蜪"
"taw","套謟"
"tav","讨槄討"
"tax","袉"
"tei","梯睇鷈謕"
"tey","替剃屉涕楴暜戻洟屜殢鬀薙"
"tej","体缇緹軆體挮"
"tek","踢惕剔倜逖硩逷悐籊趯蓨"
"tem","添黇舚"
"teb","忝掭煔舚"
"tef","舔忝栝铦悿餂銛"
"ten","天兲訮詽"
"teq","听厅汀烃町艼庁烴綎鞓聽廳桯"
"tec","侹"
"teg","徎艼圢侹珽脡颋頲"
"tel","瑱睼"
"ter","腆腼淟琠晪痶賟靦錪圢"
"teoi","台胎邰鲐孡鮐"
"teoy","态贷貸曃儓態"
"teok","忑忒铽慝貣脦鋱"
"teom","贪欿貪僋撢"
"teob","探誩傝憛僋撢"
"teof","嗿醓襑黮"
"teon","吞"
"teoq","膯鼟"
"teop","踏溻佮嚃錔鞜濌"
"tep","贴帖萜鉆怗貼跕呫"
"tet","铁餮蛈僣鐵驖飻銕"
"teu","挑佻莜铫祧庣恌聎蓧朓脁銚"
"tew","眺粜鋽咷窱絩趒覜頫糶"
"tev","窱朓"
"to","嶀捈峹庩梌稌悇"
"toh","兔吐菟堍鵵"
"toi","推蓷藬"
"toy","退褪"
"toj","腿煺僓脮骽聉"
"ton","暾燉噋涒黗"
"toq","炵"
"toc","统統"
"tol","褪"
"tor","氽黗畽"
"tot","宊棁梲"
"tox","土钍芏稌圡釷"
"tu","偷鋀鍮媮"
"tua","詑涶"
"tuah","唾嫷毤涶毻"
"tuay","蜕裞娧蛻駾毻"
"tuan","湍偳煓貒"
"tual","彖貒湪褖"
"tuar","痪疃瘓"
"tuat","脱挩侻莌脫棁梲"
"tuax","妥椭媠嫷橢鵎"
"tuh","透咅"
"tuk","秃禿鵚"
"tuq","通恫嗵痌蓪曈"
"tuc","痛"
"tug","桶捅垌曈"
"tux","钭妵鈄斢黈蘣飳"
"diax","嗲"
"taa","哆侘"
"taah","诧姹侘詫"
"taay","虿蠆慸"
"taak","拆坼"
"taaq","撑瞠樘撐橕竀"
"taac","牚"
"taat","獭獺"
"taau","唠嘮"
"taaw","踔趠"
"taax","奼"
"tae","扠"
"taei","搋"
"taef","旵"
"taok","戳踔逴趠晫"
"taoq","憃"
"tee","魑螭摛彲黐誺"
"teey","傺揥慸跇"
"teem","觇覘"
"teeb","觇覘"
"teef","谄諂讇"
"teen","梴鏈脠"
"teer","搌蒇冁蕆囅"
"teep","锸鍤煠"
"teet","彻撤屮聅硩徹"
"teeu","超怊欩"
"teew","朓脁"
"teev","巐"
"teex","褫"
"teak","辶逴辵蠚婼"
"teaq","伥倀鼚"
"teac","畅怅鬯悵暢畼韔"
"teag","昶鋹"
"teek","彳"
"teeq","侦蛏柽赪赬檉蟶竀虰偵"
"teec","靗遉"
"teeg","骋逞裎悜睈騁"
"te","郗瓻絺訵脪辴"
"teh","杘訵跮誺"
"teim","琛郴棽綝賝"
"teib","闖"
"teif","踸鍖"
"tein","胂"
"teil","趁疢"
"teir","辴"
"teip","湁雴漐"
"teit","抶跮眣咥"
"teik","敕饬侙勅恜飭遫慗趩鷘荲栻淔"
"teiq","庱僜睖"
"teic","覴"
"teig","庱"
"teo","樗摅摴攄筡"
"teoh","悇"
"teox","褚楮"
"teii","痴笞癡齝"
"teiy","眙誺佁"
"teij","耻祉恥"
"teiu","抽惆妯瘳婤"
"teiw","畜"
"teiv","丑吜杽杻"
"toey","顡"
"tyan","剶猭"
"tyal","猭鶨"
"tuin","椿杶瑃輴櫄鶞楯"
"tuir","偆"
"tuit","怵黜欪炪"
"teuk","矗搐傗鄐滀苖荲敊稸蓫"
"teuq","忡盅浺"
"tyu","貙"
"tyuk","亍豖梀"
"tyuq","蹱"
"tyuc","憃蹱"
"tyug","宠寵埫"
"do","都嘟醏"
"doh","妒蠹秅奼妬秺螙殬斁"
"doi","堆搥鎚塠嵟磓鴭頧"
"doy","对碓對轛"
"doj","頧謉"
"dok","督笃裻錖篤"
"don","吨敦墩礅弴惇噸驐"
"doq","冬咚氡苳笗鴤"
"dog","湩"
"dol","顿扽頓"
"dor","趸躉"
"dot","柮"
"dox","堵赌睹楮帾暏覩賭"
"daa","觰奓"
"daah","炸咤哆吒膪奼灹奓"
"daak","乇磔舴杔馲虴"
"daac","趟帧柼幀"
"daap","鞢擖霅"
"daat","哳眣"
"daau","嘲啁鳭鸼鵃"
"daaw","罩鵫"
"daax","觰"
"daei","榸"
"daek","摘谪厇矺棏謫讁"
"daem","鹐鵮詀"
"daeb","站"
"daen","譠"
"daeq","玎朾"
"daep","劄"
"daok","桌啄卓琢涿倬诼菿噣孎啅晫斲諑斀"
"daoq","桩樁"
"daoc","戆戇"
"dia","爹"
"dee","知蜘鼅"
"deeh","智潪"
"deem","沾霑"
"deen","鱣邅鳣驙"
"deel","襢"
"deer","展辗搌襢輾皽紾"
"deep","辄耴輒鮿襵"
"deet","哲蜇悊喆嚞"
"deeu","朝"
"deak","着著鐯擆櫡"
"deaq","张張粻餦"
"deac","涨帐胀账漲帳脹痮賬"
"deag","长長"
"deeq","贞桢祯浈貞湞楨禎"
"deeg","徎"
"de","胝秪疷"
"deh","质致轾踬輊疐質駤懥懫騺躓"
"deim","砧椹坫枮碪"
"deib","揕"
"deif","戡"
"dein","珍鎮"
"deil","镇瑱鎭"
"deip","絷馽縶"
"deit","窒蛭膣挃庢铚秷銍螲"
"dex","夂黹"
"deik","陟稙"
"deiq","征徵癥"
"deir","屒"
"deo","猪潴橥豬藸瀦櫫"
"deoh","著"
"deox","贮褚詝貯"
"deiy","置"
"deij","征徵"
"deiu","啁诪侜辀矪輈盩譸咮"
"deiw","昼晝噣咮"
"deiv","肘疛"
"doa","檛膼簻"
"doat","鵽錣窡"
"doeh","膪"
"doey","顡"
"doet","鵽聉娺窡"
"due","棰腄箠"
"dueh","娷諈"
"dyiy","缀啜輟卂笍腏畷綴醊錣餟"
"dyal","转啭轉囀"
"dyar","转轉"
"dyat","辍啜惙剟腏畷醊餟叕罬"
"dui","追娺"
"duy","轛"
"duin","窀迍"
"duit","绌絀逫泏窋"
"deuk","竹筑竺茿築"
"deuq","中忠衷舯"
"deuc","中"
"dyu","株蛛诛邾袾跦誅鴸鼄"
"dyuh","住注驻亍咮壴軴註鉒駐"
"dyuk","瘃孎欘斸钃"
"dyuc","湩堹諥"
"dyug","冢塚"
"dyux","拄丶"
"du","兜蔸篼吺剅侸兠郖"
"dua","桗"
"duah","跺剁挆挅刴桗"
"duay","祋"
"duan","端剬偳褍鍴耑竱"
"dual","断锻瑖腶碫鍛斷"
"duar","短断斷"
"duat","咄掇裰祋剟敠鵽腏"
"duax","朵躲锗缍哚褍朶挆埵綞鬌鍺"
"duh","斗鬥斣闘鬪鬭鬬襡噣"
"duk","豰剢"
"duq","东鸫岽東倲埬菄涷蝀鶇鯟崠"
"duc","栋冻胨涷凍棟腖湩"
"dug","懂董蝀蕫箽"
"dux","斗抖陡蚪阧枓襡"
"diiu","丢铥丟銩厾"
"u","区欧讴鸥瓯沤眍剾瞘蓲漚甌歐膒櫙謳鏂鷗區醧"
"ua","窝挝涡倭莴濄萵渦涹窩撾踒"
"oa","洼哇畖窊窪"
"oah","窊攨"
"oay","懀"
"oan","湾弯潫彎灣"
"oag","浻奣"
"oal","绾綰贃"
"oar","绾綰"
"oe","蛙鼃"
"oei","崴溾瀤碨"
"oen","嬽"
"oeq","泓宖謍"
"oet","挖嗗婠穵嗢"
"uah","涴"
"uay","荟薈嬒瞺濊懀"
"uak","癯蠖鹱鸌雘臒嬳"
"uan","豌剜眢婠帵"
"uaq","汪尢洸尪尣"
"uag","瀇"
"ual","腕惋捥睕"
"uar","碗盌椀"
"uat","斡嬒睕捾焥"
"uax","婐"
"uei","烓"
"uen","渊囦剈弲淵蜎鼘"
"uec","滢蓥鎣瀅"
"ueg","潆濙瀠"
"uel","肙裫噮"
"uet","妜焆"
"uh","沤怄漚慪"
"uk","屋剭"
"uq","翁嗡蓊鹟螉鶲"
"uc","瓮蕹甕罋齆"
"ug","蓊滃勜塕暡郺"
"ux","殴呕怄塸毆嘔慪敺"
"ja","嵯瘥鹾躜艖醝虘蒫嵳蔖鹺齹躦"
"jaen","虥"
"jak","昨柞怍笮砟莋秨筰鈼岝葃飵"
"jam","惭錾慚慙鏨"
"jab","暂錾暫蹔鏨"
"jaf","錾椠槧鏨"
"jan","残戋殘戔帴"
"jaq","藏"
"jac","藏奘臟"
"jag","奘"
"jal","瓒囋瓚穳"
"jar","瓒趱趲瓉瓚禶"
"jat","嶻巀囐囋"
"jau","槽曹嘈漕螬艚蓸褿鐰"
"jav","造皂唣皁唕艁"
"jei","齐脐蛴癠齊懠臍蠐麡"
"jey","剂哜劑齌穧癠嚌懠眥"
"jej","荠鲚鮆癠鱭薺啙"
"jek","寂"
"jen","前湔歬騚"
"jeg","汫"
"jel","洊栫袸臶瀳"
"jeoi","才财材裁財纔溨鼒"
"jeoy","载載酨"
"jeoj","在"
"jeok","贼賊鲗蠈鰂鱡"
"jeom","咱蚕蠶挦撏"
"jeof","歜"
"jeoq","曾层層"
"jeoc","赠贈"
"jeop","杂砸韴磼雜雥"
"jet","截岊嶻巀蠞"
"ji","瓷茨荠糍蛴垐餈薋蠐薺澬"
"jiah","躤褯"
"jiak","嚼爝皭"
"jiaq","墙蔷爿樯戕嫱丬墻薔廧嬙檣牆蘠"
"jiac","匠"
"jie","疵呲茈玼骴飺鴜胔"
"jieh","渍骴髊眥胔漬"
"jiek","籍藉瘠庴塉耤膌踖簎葃"
"jiem","潜螹朁潛灊鬵燂"
"jief","渐錾椠嚵蔪漸螹槧鏨"
"jien","钱錢"
"jieq","情晴氰夝"
"jiec","净靓婧穽淨靚"
"jieg","静睁靖阱穽妌竫靜猙睜"
"jiel","贱賤諓"
"jier","践饯俴踐諓餞"
"jiep","捷疌崨踕誱倢寁"
"jieu","瞧樵憔谯僬劁嶕鐎藮譙顦撨菬"
"jiew","诮噍劁趡趭誚"
"jih","自"
"jik","垐堲"
"jim","梣鈂埐嶜灊鬵"
"jif","蕈"
"jin","秦嗪螓"
"jiq","缯嶒竲驓鄫橧繒"
"jir","尽赆浕盡濜贐"
"jiox","怚袓跙"
"jip","集辑亼箿檝輯鏶慹"
"jii","磁慈兹鹚糍濨礠鶿鷀"
"jiy","字孳孖芓茡牸"
"jit","疾嫉蒺揤愱槉"
"jiu","酋遒蝤鰌崷煪"
"jiw","就鹫殧鷲"
"jiv","湫愀"
"djei","栘"
"djop","遪"
"dja","余畲铊阇闍鍦鉈"
"djax","社"
"djak","勺芍杓妁仢汋"
"djaq","常尚偿尝裳徜嫦甞嘗鋿嚐償"
"djac","上尚绱丄緔"
"djag","上丄"
"dje","匙忯姼眂禔"
"djeh","豉鳀鯷"
"djey","逝誓噬拽筮觢銴遾澨簭忕"
"djek","石硕炻祏鉐鼫碩"
"djem","蟾棎挦撏"
"djeb","赡贍"
"djef","剡"
"djen","单禅蝉婵掸澶鋋儃嬋禪蟬單撣僤"
"djeq","成城诚盛铖郕宬珹筬誠鋮"
"djec","盛晟墭"
"djel","擅禅膳缮鄯嬗禪僐繕饍"
"djer","善鄯鳝蟮僐墠墡磰蟺譱鱓鱔"
"djep","涉欇"
"djet","折"
"djeu","韶轺玿柖軺佋"
"djew","邵劭卲"
"djev","绍袑紹綤佋"
"djex","是氏姼恀徥諟媞褆"
"djih","视嗜醏眂眎視"
"djik","殖埴遈湜寔"
"djim","忱谌訦愖煁瘎諶"
"djib","甚侺"
"djif","甚谌訦"
"djin","晨臣辰宸茞敐麎鷐桭屒"
"djiq","承丞"
"djil","慎昚愼"
"djir","肾蜃脤祳腎鋠"
"djo","蜍稌"
"djoh","薯署曙糬藷"
"djox","墅"
"djip","十什拾褶"
"djii","时莳鲥埘旹時塒蒔榯鼭鰣"
"djiy","侍莳蒔秲"
"djij","市恃铈鈰畤"
"dju","酬雠詶雔醻讎魗鲉鮋"
"djuh","售授詶"
"djux","受寿绶壽綬璹"
"djix","视眎眡視"
"jve","垂陲圌篅倕"
"jveh","瑞睡"
"jvey","啜"
"jven","遄辁圌篅輲歂椯輇諯"
"jvel","叀"
"jver","踹歂腨鄟膞"
"jvex","菙"
"jvi","谁脽誰"
"jvin","纯醇淳鹑莼陙純蒓錞鶉蓴焞"
"djuk","熟淑孰塾婌璹"
"jvo","殊铢洙茱殳杸陎銖"
"jvoh","树澍尌樹"
"jvok","属蜀襩韣襡屬欘蠾"
"jvoq","慵鳙鱅"
"jvog","尰瘇"
"jvox","树竖裋竪豎樹"
"jo","殂徂"
"joh","祚阼胙秨飵"
"joi","摧慛槯檇"
"joj","罪辠"
"jon","存蹲拵袸"
"joq","琮淙慒悰孮潀誴潨賨"
"jol","鳟栫臶鐏鱒"
"jor","鳟鱒"
"jot","捽椊崒崪"
"jox","粗驵觕伹駔麆"
"jaa","查槎苴猹査"
"jaah","乍齰"
"jaay","寨砦"
"jaak","泎齚齰岝"
"jaam","獑毚劖酁嚵巉镵艬鑱嶃"
"jaab","欃镵艬鑱"
"jaaf","巉"
"jaaq","伧傖崢鬇"
"jaal","輚虥"
"jaar","骣驏"
"jaat","铡耫鍘"
"jaau","巢鄛樔轈勦"
"jaax","槎厏"
"jae","柴龇茈祡齜"
"jaeh","眦"
"jaei","豺侪儕麡"
"jaek","啧赜鰿矠嘖耫賾葃"
"jaem","馋錾谗攙獑毚儳酁欃讒饞鏨"
"jaeb","儳"
"jaef","瀺嵁嶃嶄"
"jran","潺孱僝虥"
"jaeq","峥鏳埩崝崢鬇"
"jaer","栈棧輚嶘虥轏"
"jaep","渫牐煠"
"jaet","铡鍘"
"jaok","泶浞簎捔澩汋丵鋜篧灂鷟齺"
"jaoq","淙"
"jaoc","漴"
"jee","齹"
"jeaq","床疒牀"
"jeac","状狀"
"jeim","岑涔笒梣"
"jeir","浕濜"
"jeip","霵"
"jeik","萴溭崱"
"jeiq","磳"
"jeo","锄豠耡鋤鉏"
"jeoh","助耡麆"
"jeox","龃齟鉏"
"jeii","茬茌"
"jeiy","事"
"jeij","士柿仕柹枾戺"
"jeiu","愁"
"jeiw","骤僽驟"
"joar","馔饌"
"joei","膗"
"jux","鲰鯫"
"jyal","馔僝僎襈譔饌籑"
"jyar","撰僎譔"
"jeuq","崇崈"
"jyu","雏媰雛鶵"
"ju","鲰鯫"
"jua","痤矬睉"
"juah","座唑"
"juay","蕞"
"juan","攒躜櫕巑欑攢酇穳襸菆劗躦"
"jual","攅"
"juat","柮"
"juax","坐"
"juh","楱"
"juk","族"
"juq","丛潀潨藂叢"
"jyen","全泉醛牷葲"
"jyer","隽雋"
"jyet","绝絕"
"jyex","惢"
"jyih","萃瘁悴顇"
"jyin","鷷"
"jyit","谇捽誶崒踤"
"jyoh","埾"
"jyoq","从從"
"jyoc","从從"
"jyox","聚鄹"
"iiu","幽呦泑怮"
"yaak","擭濩彟彠"
"ue","萎逶痿蟡覣蜲"
"ueh","餧"
"yan","潫嬽"
"yat","哕噦"
"uex","委骫蜲"
"yay","秽薉獩穢濊饖"
"yak","癯臒彟彠嬳"
"yag","枉"
"yeh","恚"
"yen","娟悁潫嬛蜎"
"yeq","萦嫈褮縈"
"yoi","威葳隇楲蝛鰄媁嵔"
"yoy","喂慰畏蔚尉熨犚罻餵螱褽"
"yoj","磈嵔"
"yet","妜"
"iiw","幼"
"uin","奫蝹赟頵贇"
"iuk","燠栯彧戫隩墺薁稶"
"iun","氲蒀蒕煴氳蝹馧缊熅緼縕蘊"
"iul","酝愠缊慍蕰緼薀醖縕醞"
"iur","蕴恽韫揾搵褞賱惲缊蕰緼薀醖縕醞藴韞蘊"
"yo","迂纡蓲扜陓虶紆"
"yoh","妪蓲嫗饇"
"yon","冤蜿鸳眢裷葾惌蒬鹓鴛鵷"
"yoq","雍臃邕壅痈饔蕹罋嗈噰郺澭雝廱灉癰"
"yoc","灉"
"yog","拥擁"
"yol","怨"
"yor","苑宛婉琬畹菀箢睕倇晼踠惌夗"
"yot","哕噦黦"
"yox","噢伛傴"
"iut","郁尉菀欝鬱灪爩黦"
"iiv","黝蚴眑泑怮"
"xia","斜邪衺"
"xiah","谢榭謝"
"xiax","灺抯"
"xiaq","祥详翔庠詳"
"xiag","像象橡蟓勨嶑潒襐鱌"
"xiek","席夕硅汐矽穸蓆"
"xiem","燅燖爓"
"xien","涎"
"xieq","饧餳"
"xiel","羡羨"
"xim","寻鲟浔镡灊挦撏枔鬵鐔尋鄩噚潯樳襑鱏鱘"
"xil","烬荩赆浕賮壗藎濜燼贐"
"xio","徐俆"
"xiox","序绪叙屿溆敘漵緒鱮藇嶼"
"xip","习袭褶隰習槢霫鳛飁騽鰼襲"
"xii","词辞祠柌詞辝辤辭"
"xiy","寺饲嗣孠飤飼"
"xij","似祀巳耜姒汜鈶佀泤洍禩攺"
"xiu","囚泅慒汓鮂苬"
"xiw","袖岫牰"
"xix","兕羠薙"
"xja","蛇佘畲虵"
"xjah","射麝贳貰"
"xjek","射"
"xjet","舌揲鞨蛥"
"xjex","舐舓"
"xjih","示谥礻眎諡謚貤"
"xjik","食蚀饣蝕"
"xjif","葚"
"xjin","神"
"xjiq","乘绳渑塍乗椉塖溗騬澠憴繩譝鱦"
"xjic","乘剩嵊媵乗鱦剰賸"
"xjox","抒杼"
"xjit","实實"
"xven","船舩"
"xvin","唇脣滣漘紃"
"xvil","顺順揗"
"xvir","吮楯揗"
"xvit","术述沭秫潏朮術袕噊驈鱊"
"xvok","赎贖"
"xeii","漦"
"xeij","涘竢騃"
"xuar","鄹"
"xye","随隋隨"
"xyey","彗軎槥篲轊鏏"
"xyen","旋璇漩镟琁蜁嫙檈璿鏇"
"xyel","漩碹镟嫙縼鏇"
"xyet","踅"
"xyih","穗隧遂燧蔧澻璲檖穟襚旞鐆鐩"
"xyin","旬循巡驯洵楯紃揗灥馴畇"
"xyil","徇殉侚"
"xyok","续俗藚續"
"xyoq","松"
"xyoc","颂诵讼訟頌誦吅"
